1 18 130
2 15 165
3 18 150
4 16 150
5 17 140
6 15 198
7 14 220
8 14 215
9 14 225
10 15 190
11 15 170
12 14 160
13 15 150
14 14 225
15 24 95
16 22 95
17 18 97
18 21 85
19 27 88
20 26 46
21 25 87
22 24 90
23 25 95
24 26 113
25 21 90
26 10 215
27 10 200
28 11 210
29 9 193
30 27 88
31 28 90
32 25 95
33 19 100
34 16 105
35 17 100
36 19 88
37 18 100
38 14 165
39 14 175
40 14 153
41 14 150
42 12 180
43 13 170
44 13 175
45 18 110
46 22 72
47 19 100
48 18 88
49 23 86
50 28 90
51 30 70
52 30 76
53 31 65
54 35 69
55 27 60
56 26 70
57 24 95
58 25 80
59 23 54
60 20 90
61 21 86
62 13 165
63 14 175
64 15 150
65 14 153
66 17 150
67 11 208
68 13 155
69 12 160
70 13 190
71 19 97
72 15 150
73 13 130
74 13 140
75 14 150
76 18 112
77 22 76
78 21 87
79 26 69
80 22 86
81 28 92
82 23 97
83 28 80
84 27 88
85 13 175
86 14 150
87 13 145
88 14 137
89 15 150
90 12 198
91 13 150
92 13 158
93 14 150
94 13 215
95 12 225
96 13 175
97 18 105
98 16 100
99 18 100
100 18 88
101 23 95
102 26 46
103 11 150
104 12 167
105 13 170
106 12 180
107 18 100
108 20 88
109 21 72
110 22 94
111 18 90
112 19 85
113 21 107
114 26 90
115 15 145
116 16 230
117 29 49
118 24 75
119 20 91
120 19 112
121 15 150
122 24 110
123 20 122
124 11 180
125 20 95
126 19 100
127 15 100
128 31 67
129 26 80
130 32 65
131 25 75
132 16 100
133 16 110
134 18 105
135 16 140
136 13 150
137 14 150
138 14 140
139 14 150
140 29 83
141 26 67
142 26 78
143 31 52
144 32 61
145 28 75
146 24 75
147 26 75
148 24 97
149 26 93
150 31 67
151 19 95
152 18 105
153 15 72
154 15 72
155 16 170
156 15 145
157 16 150
158 14 148
159 17 110
160 16 105
161 15 110
162 18 95
163 21 110
164 20 110
165 13 129
166 29 75
167 23 83
168 20 100
169 23 78
170 24 96
171 25 71
172 24 97
173 18 97
174 29 70
175 19 90
176 23 95
177 23 88
178 22 98
179 25 115
180 33 53
181 28 86
182 25 81
183 25 92
184 26 79
185 27 83
186 17.5 140
187 16 150
188 15.5 120
189 14.5 152
190 22 100
191 22 105
192 24 81
193 22.5 90
194 29 52
195 24.5 60
196 29 70
197 33 53
198 20 100
199 18 78
200 18.5 110
201 17.5 95
202 29.5 71
203 32 70
204 28 75
205 26.5 72
206 20 102
207 13 150
208 19 88
209 19 108
210 16.5 120
211 16.5 180
212 13 145
213 13 130
214 13 150
215 31.5 68
216 30 80
217 36 58
218 25.5 96
219 33.5 70
220 17.5 145
221 17 110
222 15.5 145
223 15 130
224 17.5 110
225 20.5 105
226 19 100
227 18.5 98
228 16 180
229 15.5 170
230 15.5 190
231 16 149
232 29 78
233 24.5 88
234 26 75
235 25.5 89
236 30.5 63
237 33.5 83
238 30 67
239 30.5 78
240 22 97
241 21.5 110
242 21.5 110
243 43.1 48
244 36.1 66
245 32.8 52
246 39.4 70
247 36.1 60
248 19.9 110
249 19.4 140
250 20.2 139
251 19.2 105
252 20.5 95
253 20.2 85
254 25.1 88
255 20.5 100
256 19.4 90
257 20.6 105
258 20.8 85
259 18.6 110
260 18.1 120
261 19.2 145
262 17.7 165
263 18.1 139
264 17.5 140
265 30 68
266 27.5 95
267 27.2 97
268 30.9 75
269 21.1 95
270 23.2 105
271 23.8 85
272 23.9 97
273 20.3 103
274 17 125
275 21.6 115
276 16.2 133
277 31.5 71
278 29.5 68
279 21.5 115
280 19.8 85
281 22.3 88
282 20.2 90
283 20.6 110
284 17 130
285 17.6 129
286 16.5 138
287 18.2 135
288 16.9 155
289 15.5 142
290 19.2 125
291 18.5 150
292 31.9 71
293 34.1 65
294 35.7 80
295 27.4 80
296 25.4 77
297 23 125
298 27.2 71
299 23.9 90
300 34.2 70
301 34.5 70
302 31.8 65
303 37.3 69
304 28.4 90
305 28.8 115
306 26.8 115
307 33.5 90
308 41.5 76
309 38.1 60
310 32.1 70
311 37.2 65
312 28 90
313 26.4 88
314 24.3 90
315 19.1 90
316 34.3 78
317 29.8 90
318 31.3 75
319 37 92
320 32.2 75
321 46.6 65
322 27.9 105
323 40.8 65
324 44.3 48
325 43.4 48
326 36.4 67
327 30 67
328 44.6 67
329 33.8 67
330 29.8 62
331 32.7 132
332 23.7 100
333 35 88
334 32.4 72
335 27.2 84
336 26.6 84
337 25.8 92
338 23.5 110
339 30 84
340 39.1 58
341 39 64
342 35.1 60
343 32.3 67
344 37 65
345 37.7 62
346 34.1 68
347 34.7 63
348 34.4 65
349 29.9 65
350 33 74
351 33.7 75
352 32.4 75
353 32.9 100
354 31.6 74
355 28.1 80
356 30.7 76
357 25.4 116
358 24.2 120
359 22.4 110
360 26.6 105
361 20.2 88
362 17.6 85
363 28 88
364 27 88
365 34 88
366 31 85
367 29 84
368 27 90
369 24 92
370 36 74
371 37 68
372 31 68
373 38 63
374 36 70
375 36 88
376 36 75
377 34 70
378 38 67
379 32 67
380 38 67
381 25 110
382 38 85
383 26 92
384 22 112
385 32 96
386 36 84
387 27 90
388 27 86
389 44 52
390 32 84
391 28 79
392 31 82
